tradingDate,open,high,low,close,volume
2023-01-30,144.96,145.55,142.85,143.0,64015300.0
2023-01-31,142.7,144.34,142.28,144.29,65874500.0
2023-02-01,143.97,146.61,141.32,145.43,77663633.0
2023-02-02,148.9,151.18,148.17,150.82,118339000.0
2023-02-03,148.03,157.38,147.83,154.5,154357337.0
2023-02-06,152.57,153.1,150.78,151.73,69858306.0
2023-02-07,150.64,155.23,150.64,154.65,83322600.0
2023-02-08,153.88,154.58,151.17,151.92,64120100.0
2023-02-09,153.78,154.33,150.42,150.87,56007143.0
2023-02-10,149.46,151.34,149.22,151.01,57450708.0
2023-02-13,150.95,154.26,150.92,153.85,62199013.0
2023-02-14,152.12,153.77,150.86,153.2,61707600.0
2023-02-15,153.11,155.5,152.88,155.33,65669252.0
2023-02-16,153.51,156.33,153.35,153.71,68167942.0
2023-02-17,152.35,153.0,150.85,152.55,59144118.0
2023-02-21,150.2,151.3,148.41,148.48,58867230.0
2023-02-22,148.87,149.95,147.16,148.91,51011305.0
2023-02-23,150.09,150.34,147.24,149.4,48394249.0
2023-02-24,147.11,147.19,145.72,146.71,55469606.0
2023-02-27,147.71,149.17,147.45,147.92,44998500.0
2023-02-28,147.05,149.08,146.83,147.41,50547000.0
2023-03-01,146.83,147.23,145.01,145.31,55479000.0
2023-03-02,144.38,146.71,143.9,145.91,52279761.0
2023-03-03,148.04,151.11,147.33,151.03,70732300.0
2023-03-06,153.79,156.3,153.46,153.83,87558028.0
2023-03-07,153.7,154.03,151.13,151.6,56182028.0
2023-03-08,152.81,153.47,151.83,152.87,47204800.0
2023-03-09,153.56,154.54,150.23,150.59,53833600.0
2023-03-10,150.21,150.94,147.61,148.5,68572400.0
2023-03-13,147.81,153.14,147.7,150.47,84457122.0
2023-03-14,151.28,153.4,150.1,152.59,73695900.0
2023-03-15,151.19,153.25,149.92,152.99,77167900.0
2023-03-16,152.16,156.46,151.64,155.85,76254419.0
2023-03-17,156.08,156.74,154.28,155.0,98944633.0
2023-03-20,155.07,157.82,154.15,157.4,73641415.0
2023-03-21,157.32,159.4,156.54,159.28,73938300.0
2023-03-22,159.3,162.14,157.81,157.83,75701811.0
2023-03-23,158.83,161.55,157.68,158.93,67622100.0
2023-03-24,158.86,160.34,157.85,160.25,59256343.0
2023-03-27,159.94,160.77,157.87,158.28,52390300.0
2023-03-28,157.97,158.49,155.98,157.65,45992200.0
2023-03-29,159.37,161.05,159.35,160.77,51305700.0
2023-03-30,161.53,162.47,161.27,162.36,49501700.0
2023-03-31,162.44,165.0,161.91,164.9,68749800.0
2023-04-03,164.27,166.29,164.22,166.17,56976200.0
2023-04-04,166.6,166.84,165.11,165.63,46278300.0
2023-04-05,164.74,165.05,161.8,163.76,51511744.0
2023-04-06,162.43,164.96,162.0,164.66,45390123.0
2023-04-10,161.42,162.03,160.08,162.03,47716900.0
2023-04-11,162.35,162.36,160.51,160.8,47644217.0
2023-04-12,161.22,162.06,159.78,160.1,50133100.0
2023-04-13,161.63,165.8,161.42,165.56,68445649.0
2023-04-14,164.59,166.32,163.82,165.21,49386500.0
2023-04-17,165.09,165.39,164.03,165.23,41516217.0
2023-04-18,166.1,167.41,165.65,166.47,49923008.0
