tradingDate,open,high,low,close,volume
2023-01-30,111.69,113.15,109.78,111.2,21918217.0
2023-01-31,109.42,112.08,108.81,110.2,15329975.0
2023-02-01,111.86,113.95,110.15,112.82,16622999.0
2023-02-02,112.5,112.53,107.81,109.74,23396932.0
2023-02-03,108.05,109.53,105.81,106.33,15982156.0
2023-02-06,103.82,106.28,103.22,105.45,15337475.0
2023-02-07,106.84,107.35,103.72,105.5,16861658.0
2023-02-08,107.1,107.14,103.55,105.11,14329488.0
2023-02-09,108.5,109.81,107.75,108.46,16281295.0
2023-02-10,105.8,106.64,102.79,103.65,18776035.0
2023-02-13,105.99,106.35,104.15,104.79,17577825.0
2023-02-14,103.55,104.48,101.85,104.22,12978395.0
2023-02-15,102.39,103.44,102.0,103.08,18910236.0
2023-02-16,102.71,104.52,102.03,103.11,21747094.0
2023-02-17,101.0,101.09,99.25,100.01,18121644.0
2023-02-21,96.5,97.63,94.7,95.1,27172733.0
2023-02-22,95.58,95.89,93.55,94.78,24484024.0
2023-02-23,100.1,100.47,92.13,94.16,40482949.0
2023-02-24,90.07,91.68,88.03,89.0,36174519.0
2023-02-27,90.85,91.24,88.9,89.25,25839998.0
2023-02-28,88.46,89.34,87.27,87.79,24597162.0
2023-03-01,92.92,92.92,89.73,89.95,35434898.0
2023-03-02,88.96,90.92,87.97,89.75,25691768.0
2023-03-03,90.11,90.46,88.4,89.7,25834349.0
2023-03-06,89.59,91.3,88.03,89.62,16983867.0
2023-03-07,89.52,90.05,88.2,88.73,14514657.0
2023-03-08,87.39,87.77,86.45,86.95,14721537.0
2023-03-09,85.12,85.69,82.88,83.37,24327736.0
2023-03-10,82.64,84.52,82.33,82.96,18124288.0
2023-03-13,83.01,83.76,81.97,82.9,17848336.0
2023-03-14,82.86,83.91,82.16,83.85,20126118.0
2023-03-15,81.55,82.54,80.15,81.51,21025307.0
2023-03-16,81.46,82.48,80.66,82.22,22923290.0
2023-03-17,84.0,84.16,80.62,81.67,23711626.0
2023-03-20,80.15,81.9,79.48,81.0,19536496.0
2023-03-21,82.46,84.09,82.0,83.7,16529397.0
2023-03-22,84.84,85.39,83.51,83.65,21205371.0
2023-03-23,87.68,88.38,85.26,86.52,26861427.0
2023-03-24,85.87,88.11,85.63,86.9,20349646.0
2023-03-27,87.13,88.22,85.5,86.12,18258302.0
2023-03-28,95.35,99.51,92.06,98.4,118875179.0
2023-03-29,97.59,101.33,96.28,99.92,53695033.0
2023-03-30,101.34,105.05,100.5,103.38,57780699.0
2023-03-31,102.86,103.6,101.13,102.18,28382576.0
2023-04-03,100.89,101.75,97.61,98.39,26888141.0
2023-04-04,98.94,101.47,97.26,100.72,26868408.0
2023-04-05,99.24,100.45,97.66,98.55,20117745.0
2023-04-06,98.53,103.24,98.27,102.74,26849216.0
2023-04-10,100.62,102.83,100.59,101.54,16308327.0
2023-04-11,102.46,102.54,99.2,99.76,19017682.0
2023-04-12,97.82,98.89,93.58,93.84,35515995.0
2023-04-13,95.88,97.19,95.1,96.17,24231741.0
2023-04-14,95.63,96.12,93.84,94.55,14098698.0
2023-04-17,96.74,97.23,95.49,96.42,15714118.0
2023-04-18,99.02,99.17,95.18,95.49,20672320.0
2023-04-19,94.6,94.82,92.95,93.49,18985229.0
2023-04-20,93.35,93.79,90.05,90.74,25533867.0
2023-04-21,89.96,90.19,88.3,89.13,23097341.0
2023-04-24,88.4,88.48,86.04,86.89,22757093.0
2023-04-25,85.32,85.7,82.21,82.92,36441347.0
2023-04-26,85.04,85.22,82.76,82.82,24983000.0
2023-04-27,83.07,84.64,82.64,84.47,24506825.0
2023-04-28,84.18,85.08,83.87,84.69,18109260.0
2023-05-01,84.15,85.28,83.77,84.16,12909246.0
2023-05-02,83.15,83.28,80.65,81.53,20689482.0
2023-05-03,81.31,82.0,80.49,81.48,17759399.0
2023-05-04,82.39,83.13,81.8,82.49,23773830.0
2023-05-05,82.75,83.38,82.03,83.22,17527620.0
2023-05-08,83.63,83.7,82.34,83.31,17392861.0
2023-05-09,80.55,82.66,80.15,82.22,13457351.0
2023-05-10,82.14,84.5,81.77,82.95,16868062.0
2023-05-11,85.43,88.48,84.82,87.89,28104158.0
2023-05-12,86.71,86.71,84.76,85.34,19042794.0
2023-05-15,87.13,88.4,85.83,88.34,23691178.0
2023-05-16,87.11,89.37,87.06,88.76,18177862.0
2023-05-17,88.46,91.43,88.01,90.68,27670688.0
2023-05-18,90.81,91.0,85.0,85.77,60258607.0
2023-05-19,83.85,85.2,83.48,83.98,21571832.0
