tradingDate,open,high,low,close,volume
2020-01-30,60.0,62.56,58.94,62.45,4162821.0
2020-01-31,62.5,63.0,60.25,61.09,4062159.0
2020-02-03,61.13,61.46,59.65,61.08,3706758.0
2020-02-04,61.92,64.33,61.15,63.555,4618990.0
2020-02-05,64.21,64.8,60.06,61.815,3998594.0
2020-02-06,61.6,62.98,60.18,62.19,2259841.0
2020-02-07,62.0,63.72,61.82,62.09,3055678.0
2020-02-10,62.33,63.86,61.45,63.3,3877454.0
2020-02-11,66.0,66.84,63.6552,65.19,7978151.0
2020-02-12,65.19,65.5,62.72,65.08,5448316.0
2020-02-13,64.25,66.2,64.13,65.31,4124467.0
2020-02-14,65.81,65.83,63.87,64.85,4202496.0
2020-02-18,65.0,66.28,64.55,66.04,4326970.0
2020-02-19,66.63,67.56,65.61,66.03,5306912.0
2020-02-20,65.7,65.98,60.03,63.38,6179145.0
2020-02-21,62.58,62.64,59.26,60.93,4629137.0
2020-02-24,56.4,59.25,56.02,58.08,4638814.0
2020-02-25,59.5,59.79,56.06,57.74,5325621.0
2020-02-26,58.39,60.26,57.51,58.46,4429001.0
2020-02-27,56.15,59.45,54.345,57.5,4874094.0
2020-02-28,55.6,60.02,55.5,59.64,4450477.0
2020-03-02,60.2,60.97,58.0,59.13,4013660.0
2020-03-03,59.61,60.7325,55.01,56.48,4071468.0
2020-03-04,57.18,58.08,56.06,57.2,2320969.0
2020-03-05,56.08,57.44,54.55,55.92,3212544.0
2020-03-06,54.24,54.87,50.36,51.96,5119948.0
2020-03-09,46.81,48.89,45.65,45.74,5816707.0
2020-03-10,48.47,48.47,45.0,46.91,4569922.0
2020-03-11,45.96,46.3,42.23,42.85,5395728.0
2020-03-12,38.6,40.2,35.98,37.82,6636462.0
2020-03-13,39.9,40.08,36.59,39.55,5015228.0
2020-03-16,36.0,36.0,32.12,33.01,6816301.0
2020-03-17,33.93,38.3,31.95,38.01,5664702.0
2020-03-18,35.76,41.47,35.5,38.63,6358453.0
2020-03-19,40.43,44.49,38.2,41.74,7442733.0
2020-03-20,49.955,51.97,46.81,49.01,14253612.0
2020-03-23,46.24,53.0,46.01,51.45,11127193.0
2020-03-24,54.92,58.65,54.28,57.33,8087964.0
2020-03-25,56.0,59.5,55.6,55.78,5517240.0
2020-03-26,55.84,59.1,55.04,58.64,5840860.0
2020-03-27,57.02,59.87,56.02,58.79,3826133.0
2020-03-30,58.81,59.83,56.27,57.72,4449457.0
2020-03-31,57.03,60.03,55.26,55.68,4925797.0
2020-04-01,54.0,56.55,53.53,54.58,3113910.0
2020-04-02,54.51,56.92,54.11,56.69,3058704.0
2020-04-03,55.85,59.25,55.85,57.82,4555900.0
2020-04-06,59.08,60.53,58.66,59.07,5008134.0
2020-04-07,59.45,61.3,57.75,59.6,7472839.0
2020-04-08,59.65,60.88,59.05,60.32,4337540.0
2020-04-09,60.48,60.79,57.5,58.15,3752874.0
2020-04-13,58.0,59.37,57.36,58.77,2867117.0
2020-04-14,59.99,62.0,58.5,60.89,6485718.0
2020-04-15,59.34,62.64,58.73,61.82,4196854.0
2020-04-16,62.0,64.45,61.54,63.45,5002061.0
2020-04-17,64.46,65.62,63.25,64.74,4139739.0
2020-04-20,64.87,70.2,64.39,68.43,6529901.0
2020-04-21,68.66,70.5,62.77,66.07,6950252.0
2020-04-22,67.67,69.31,67.23,68.07,3734368.0
2020-04-23,68.06,69.96,68.0,68.91,3063290.0
2020-04-24,69.0,74.65,68.895,72.0,9725058.0
2020-04-27,73.0,75.0,72.02,73.6,4360219.0
2020-04-28,74.0,74.71,68.39,70.13,4634072.0
2020-04-29,71.0,71.6,68.19,69.28,6111394.0
2020-04-30,69.28,69.28,67.12,67.66,2216753.0
2020-05-01,66.28,70.19,65.8,69.21,2997771.0
2020-05-04,68.35,73.67,67.81,73.43,3899618.0
2020-05-05,74.27,75.0,70.88,71.59,3743180.0
2020-05-06,71.94,73.62,69.32,72.44,4492886.0
2020-05-07,74.0,76.75,73.66,75.49,5661630.0
2020-05-08,76.55,77.96,75.0,76.7,3464212.0
2020-05-11,77.05,78.35,76.15,76.23,2418245.0
2020-05-12,77.0,80.63,75.31,76.15,4514351.0
2020-05-13,77.86,79.3,73.12,76.57,4333098.0
2020-05-14,76.0,77.4,74.53,77.14,3322230.0
2020-05-15,77.5,80.29,76.33,77.14,3292902.0
2020-05-18,78.11,78.99,75.78,76.1,2869357.0
2020-05-19,76.53,79.58,76.5,78.55,2675401.0
2020-05-20,80.72,81.74,79.1503,80.97,3562740.0
2020-05-21,81.62,81.87,78.8148,80.6,2072322.0
2020-05-22,81.0,82.7,80.0,82.22,2823015.0
2020-05-26,83.39,83.4,77.95,79.35,4122386.0
2020-05-27,79.0,79.0,71.5101,77.99,7021299.0
2020-05-28,78.2,82.28,78.0,79.5,3816778.0
2020-05-29,83.19,88.0,81.2,87.81,13487761.0
2020-06-01,90.56,95.8,90.21,94.84,12028839.0
2020-06-02,96.59,96.8,90.03,92.25,12883326.0
2020-06-03,99.98,103.8,95.6,98.1,21051183.0
2020-06-04,94.23,98.49,91.83,95.98,16371219.0
2020-06-05,92.73,95.98,88.87,93.93,9600581.0
2020-06-08,93.87,97.5,93.62,95.43,7482277.0
2020-06-09,96.0,96.88,93.62,93.9,4351106.0
2020-06-10,95.0,97.74,94.33,97.22,5816775.0
2020-06-11,94.85,100.12,94.22,95.04,8322939.0
2020-06-12,97.9865,97.9865,91.05,93.12,6452416.0
2020-06-15,92.65,100.0,91.5,99.02,9025336.0
2020-06-16,100.0,101.68,94.69,101.04,9814259.0
