tradingDate,open,high,low,close,volume
2023-01-30,25.24,25.89,23.94,24.57,5340370.0
2023-01-31,24.9,25.78,24.8,25.17,3788000.0
2023-02-01,25.1,27.36,24.43,26.79,6554390.0
2023-02-02,27.5,30.29,27.49,29.21,10415000.0
2023-02-03,27.91,30.34,27.84,28.48,6303410.0
2023-02-06,27.43,28.62,27.12,28.21,4206170.0
2023-02-07,27.98,28.73,27.04,28.39,5013380.0
2023-02-08,28.24,29.04,27.17,27.6,3156000.0
2023-02-09,27.6,27.76,24.56,24.9,7268130.0
2023-02-10,24.6,25.26,24.1,24.34,4362360.0
2023-02-13,23.9,25.07,23.65,24.93,2894020.0
2023-02-14,25.1,27.68,24.4,27.11,6728240.0
2023-02-15,27.56,29.97,27.21,29.84,7142870.0
2023-02-16,29.6,31.5,28.28,28.4,9707410.0
2023-02-17,28.33,29.74,27.39,29.41,5529080.0
2023-02-21,28.62,29.07,26.75,26.99,5715000.0
2023-02-22,26.64,27.35,26.24,26.86,4214390.0
2023-02-23,27.1,27.56,26.16,26.58,3015000.0
2023-02-24,26.14,26.21,24.89,25.58,5035390.0
2023-02-27,26.36,26.97,25.58,25.87,3494180.0
2023-02-28,25.98,26.98,25.6,26.23,4006030.0
2023-03-01,26.39,26.85,25.33,25.79,3452190.0
2023-03-02,24.9,25.39,24.17,25.29,4928470.0
2023-03-03,24.02,25.23,23.69,24.69,7604000.0
2023-03-06,24.94,25.2,23.71,23.75,4770120.0
2023-03-07,23.6,24.1,23.09,23.14,4936000.0
2023-03-08,23.04,23.49,22.7,23.27,4701420.0
2023-03-09,23.04,23.14,21.01,21.08,8242000.0
2023-03-10,20.58,20.76,18.83,19.2,13303190.0
2023-03-13,20.2,22.96,19.64,22.32,15330000.0
2023-03-14,23.91,24.44,22.21,22.95,11304000.0
2023-03-15,22.7,23.5,21.65,22.76,6895420.0
2023-03-16,22.52,24.51,22.33,24.11,7700610.0
2023-03-17,25.55,27.4,24.9,26.77,20224000.0
2023-03-20,28.04,28.17,25.84,26.4,12524220.0
2023-03-21,26.9,27.89,26.07,27.34,8811000.0
2023-03-22,27.6,27.81,24.6,24.69,11130000.0
2023-03-23,24.9,27.1,24.8,26.33,11250000.0
2023-03-24,25.91,26.35,24.73,25.67,6569940.0
2023-03-27,25.99,26.02,23.07,23.9,11331000.0
2023-03-28,23.68,24.85,23.25,24.83,6721260.0
2023-03-29,25.78,28.54,25.55,28.4,10109000.0
2023-03-30,28.79,28.85,27.46,27.92,7081000.0
2023-03-31,28.35,29.54,28.0,29.23,10380000.0
2023-04-03,29.1,30.1,28.82,29.74,7654000.0
2023-04-04,29.96,30.14,28.57,29.9,6235000.0
2023-04-05,30.35,30.7,28.35,29.08,8123880.0
2023-04-06,28.65,29.55,27.84,29.01,4261230.0
2023-04-10,29.0,31.29,28.5,31.28,10026000.0
2023-04-11,32.19,33.78,31.81,33.24,14267460.0
2023-04-12,33.42,33.57,31.83,32.28,8812480.0
2023-04-13,33.04,34.5,32.7,34.07,11132000.0
2023-04-14,34.28,34.76,32.46,33.38,8721000.0
2023-04-17,32.17,32.25,31.22,31.3,7702240.0
2023-04-18,32.5,33.4,32.4,32.99,10001000.0
2023-04-19,31.99,32.2,31.29,31.47,6235000.0
2023-04-20,31.03,31.29,29.23,29.47,8256390.0
2023-04-21,29.73,30.05,28.77,29.1,6576180.0
2023-04-24,29.1,29.8,28.3,28.53,5676380.0
2023-04-25,28.24,29.69,28.02,29.09,5700000.0
2023-04-26,31.05,32.16,29.63,29.95,10820420.0
2023-04-27,30.65,31.89,29.6,31.86,10165150.0
2023-04-28,31.3,32.9,30.81,32.84,7607300.0
2023-05-01,32.0,32.34,30.42,30.75,9055130.0
2023-05-02,31.01,33.29,30.51,32.8,13733020.0
