tradingDate,open,high,low,close,volume
2023-01-30,99.61,99.67,95.81,97.15,10548096.0
2023-01-31,95.86,101.195,95.78,97.98,7126516.0
2023-02-01,102.31,104.95,101.1,102.98,8891381.0
2023-02-02,102.8,102.92,97.09,99.61,8767731.0
2023-02-03,98.46,99.47,95.36,95.65,5591792.0
2023-02-06,92.12,94.265,90.04,93.81,8786907.0
2023-02-07,95.9,96.8914,92.8193,94.45,9454433.0
2023-02-08,93.48,93.79,91.1,92.43,5400667.0
2023-02-09,96.0,96.39,93.705,93.88,6577768.0
2023-02-10,91.005,92.68,90.3,92.45,4664983.0
2023-02-13,94.99,97.63,91.9,96.1,9898894.0
2023-02-14,93.98,96.07,93.0,95.89,6164571.0
2023-02-15,93.78,94.71,92.3,94.46,6731627.0
2023-02-16,94.22,98.17,93.93,96.79,6798994.0
2023-02-17,95.04,95.18,92.24,93.42,7498320.0
2023-02-21,86.223,87.68,83.56,84.51,20893115.0
2023-02-22,85.25,85.52,81.82,83.42,9857790.0
2023-02-23,86.58,88.53,85.44,86.11,10810406.0
2023-02-24,83.43,86.0,83.03,83.72,7536568.0
2023-02-27,85.75,86.67,84.555,86.0,8818798.0
2023-02-28,85.99,90.08,85.825,87.73,9992821.0
2023-03-01,92.65,93.57,90.63,91.04,9006135.0
2023-03-02,90.67,95.86,89.96,95.76,12359899.0
2023-03-03,94.92,97.63,94.69,95.69,8178157.0
2023-03-06,94.62,96.49,92.94,93.78,9379142.0
2023-03-07,93.78,94.67,92.84,93.67,6038297.0
2023-03-08,92.0,93.66,91.86,93.03,4124443.0
2023-03-09,90.07,90.33,85.55,85.65,12188981.0
2023-03-10,85.19,86.97,83.62,85.73,6992193.0
2023-03-13,84.73,91.815,84.73,91.17,11676711.0
2023-03-14,92.07,92.8,89.85,92.73,8336561.0
2023-03-15,91.17,94.17,90.19,91.21,9654742.0
2023-03-16,90.23,95.31,89.72,94.52,8807261.0
2023-03-17,94.8,95.14,89.98,91.94,18471150.0
2023-03-20,79.93,82.84,75.01,78.91,36418981.0
2023-03-21,80.7,81.7,77.85,78.93,15253058.0
2023-03-22,80.7,80.92,75.06,75.58,14075343.0
2023-03-23,78.52,80.84,76.22,77.45,12987328.0
2023-03-24,75.24,77.51,72.6,73.96,13115641.0
2023-03-27,72.25,72.8,70.5001,71.68,11434907.0
2023-03-28,72.87,73.56,70.13,72.84,15725362.0
2023-03-29,72.11,73.12,71.22,72.86,9987019.0
2023-03-30,74.44,78.58,73.45,76.44,15042629.0
2023-03-31,75.015,76.09,73.46,75.9,10517768.0
2023-04-03,74.07,74.89,72.2,74.84,7249760.0
2023-04-04,74.9,74.9,72.79,73.2,5009858.0
2023-04-05,73.14,73.14,71.62,72.32,5253590.0
2023-04-06,72.5,72.6,71.16,72.03,5117401.0
2023-04-10,71.0,72.0,70.18,71.31,5138253.0
2023-04-11,72.05,72.44,70.62,70.71,7293532.0
2023-04-12,69.16,69.69,66.74,67.02,14856090.0
2023-04-13,68.03,69.53,67.83,68.53,7701803.0
2023-04-14,68.5,68.845,67.45,67.68,5133879.0
2023-04-17,69.34,69.52,68.08,68.95,6700826.0
2023-04-18,69.76,71.98,69.75,70.26,6080211.0
2023-04-19,68.6,70.17,68.4952,70.09,4297043.0
2023-04-20,69.74,70.2,68.89,69.69,7397348.0
2023-04-21,68.7,69.24,67.86,69.23,6561198.0
2023-04-24,68.755,68.755,65.3311,66.75,9421684.0
2023-04-25,64.45,65.23,63.58,64.58,10297728.0
2023-04-26,66.29,66.84,64.62,65.15,6980348.0
2023-04-27,66.1,66.68,64.58,66.12,5423056.0
2023-04-28,65.4,68.81,65.4,68.15,6107701.0
2023-05-01,67.69,69.46,67.68,68.59,3031185.0
2023-05-02,67.4,67.72,63.56,64.19,9149043.0
2023-05-03,64.21,64.74,62.75,63.52,4695407.0
2023-05-04,63.915,65.52,63.48,64.14,7103856.0
2023-05-05,64.04,64.23,63.01,63.06,6438628.0
2023-05-08,62.87,62.89,61.085,61.96,7922668.0
2023-05-09,59.8,61.53,59.7,61.41,9463005.0
2023-05-10,60.46,61.74,59.67,60.88,7444610.0
2023-05-11,61.04,65.7,60.52,65.17,12371844.0
2023-05-12,63.84,64.3037,62.8,63.32,6333064.0
2023-05-15,65.2,66.54,63.64,66.07,9861081.0
2023-05-16,64.74,66.715,64.44,66.01,5115645.0
2023-05-17,64.66,66.735,63.8,66.45,5803715.0
2023-05-18,66.16,66.25,61.12,61.6,13245328.0
2023-05-19,61.02,61.6,60.01,60.53,6532221.0
2023-05-22,61.93,64.19,61.93,63.04,11939751.0
2023-05-23,61.5,63.25,60.89,61.93,6715712.0
2023-05-24,61.95,63.35,60.0,60.94,9324099.0
2023-05-25,61.03,61.92,59.98,60.02,11727372.0
2023-05-26,68.52,71.5,66.72,71.42,26329842.0
2023-05-30,71.915,72.06,66.76,67.63,14396729.0
2023-05-31,65.8,65.82,62.53,65.32,15273557.0
2023-06-01,63.86,70.74,63.84,69.09,15160714.0
2023-06-02,71.285,72.0,69.365,69.54,11489717.0
2023-06-05,69.12,69.17,66.63,68.06,7366605.0
2023-06-06,67.78,73.16,67.455,72.81,12945314.0
2023-06-07,71.68,73.92,70.95,72.5,9292004.0
2023-06-08,72.94,77.21,72.88,74.93,11429415.0
2023-06-09,75.78,77.99,74.89,76.1,13375240.0
2023-06-12,76.0,77.69,75.2437,76.09,5642360.0
2023-06-13,78.69,80.02,77.05,77.46,8279116.0
2023-06-14,77.46,79.08,76.13,78.67,9367211.0
2023-06-15,81.73,83.4,80.3101,80.82,11335321.0
2023-06-16,81.72,82.48,77.11,79.87,12516749.0
2023-06-20,75.57,76.01,73.4,74.32,14028024.0
2023-06-21,73.0,75.78,72.73,73.03,9013747.0
2023-06-22,72.68,74.2362,71.41,72.89,5248766.0
2023-06-23,71.32,71.33,68.575,69.8,9168857.0
2023-06-26,70.24,71.128,69.2,69.58,5796950.0
2023-06-27,71.5,73.47,71.43,71.68,6625476.0
2023-06-28,71.0,71.14,69.21,70.21,5468050.0
2023-06-29,68.23,68.93,66.401,68.9,7079602.0
2023-06-30,69.19,70.19,68.06,69.14,4796939.0
2023-07-03,71.77,73.04,71.205,71.29,5299136.0
2023-07-05,70.89,71.99,69.9,71.84,4537076.0
2023-07-06,70.2,70.75,67.55,67.69,8160303.0
2023-07-07,68.7,70.69,68.0104,70.0,8241741.0
2023-07-10,70.0,71.17,69.06,70.14,5254304.0
2023-07-11,71.5,72.8,70.14,71.04,6466930.0
2023-07-12,74.65,75.73,72.64,75.34,14632903.0
2023-07-13,78.12,81.51,76.19,80.93,19254443.0
2023-07-14,79.89,79.89,77.47,79.49,11551599.0
2023-07-17,77.1,79.2,75.51,79.1,11801153.0
2023-07-18,76.93,77.77,74.63,75.67,8797580.0
2023-07-19,78.07,79.6699,75.225,75.23,11245415.0
2023-07-20,74.92,76.69,74.48,74.88,7146488.0
2023-07-21,76.36,77.29,75.44,75.97,11308933.0
2023-07-24,75.4,80.51,74.61,78.85,10410285.0
