tradingDate,open,high,low,close,volume
2023-01-30,292.93,294.38,289.89,290.27,49405833.0
2023-01-31,290.31,294.72,290.2,294.62,46705106.0
2023-02-01,294.41,303.43,292.3,300.92,67562200.0
2023-02-02,307.57,313.68,306.73,311.72,83070628.0
2023-02-03,304.94,312.39,304.54,306.18,76170804.0
2023-02-06,303.51,305.91,302.22,303.59,40802348.0
2023-02-07,303.46,311.03,302.32,309.88,67584000.0
2023-02-08,308.54,309.5,303.67,304.37,56720900.0
2023-02-09,308.84,308.99,300.2,301.68,49137818.0
2023-02-10,299.48,301.57,297.25,299.7,50050104.0
2023-02-13,301.13,305.1,299.93,304.5,39636720.0
2023-02-14,302.89,307.72,300.91,306.75,64079100.0
2023-02-15,304.9,309.27,304.2,309.1,43427298.0
2023-02-16,304.38,308.43,303.15,303.3,59498630.0
2023-02-17,301.07,301.93,298.1,301.16,58230729.0
2023-02-21,297.26,298.73,293.89,294.03,46526708.0
2023-02-22,294.62,296.36,292.56,294.25,51389237.0
2023-02-23,297.97,298.13,292.55,296.82,69294443.0
2023-02-24,291.76,292.97,290.05,291.85,74332000.0
2023-02-27,295.07,296.49,293.34,293.94,48995009.0
2023-02-28,293.3,296.12,292.96,293.56,48243141.0
2023-03-01,293.26,293.93,290.2,291.2,58287000.0
2023-03-02,288.66,294.43,288.37,293.61,53738557.0
2023-03-03,295.39,299.92,294.87,299.68,60511540.0
2023-03-06,300.94,304.0,299.82,300.02,56736300.0
2023-03-07,300.07,301.01,295.72,296.34,65955800.0
2023-03-08,296.77,298.43,294.88,297.82,50876300.0
2023-03-09,298.33,300.98,291.83,292.66,71456700.0
2023-03-10,292.83,294.35,287.38,288.55,98593600.0
2023-03-13,286.73,294.47,285.19,290.69,97123603.0
2023-03-14,294.31,297.93,293.45,297.37,73602545.0
2023-03-15,294.71,299.27,293.24,298.93,83631535.0
2023-03-16,298.0,307.18,297.19,306.81,98556824.0
2023-03-17,306.72,309.15,303.37,305.36,89923732.0
2023-03-20,304.26,306.3,302.01,305.97,56359500.0
2023-03-21,307.94,310.8,306.4,310.34,49757048.0
2023-03-22,310.27,315.25,305.95,306.12,75791914.0
2023-03-23,309.92,314.15,307.01,309.75,74576000.0
2023-03-24,309.32,310.99,306.95,310.89,57245803.0
2023-03-27,311.6,312.7,307.89,308.76,50287407.0
2023-03-28,308.17,308.2,304.77,307.12,48585917.0
2023-03-29,310.88,313.35,310.05,312.72,53274300.0
2023-03-30,315.24,316.32,312.81,315.68,58354808.0
2023-03-31,315.91,321.17,315.6,320.93,62138100.0
2023-04-03,318.77,320.42,317.42,320.15,47126839.0
2023-04-04,320.6,321.63,317.83,319.07,45875400.0
2023-04-05,318.1,319.06,314.07,315.92,62795706.0
2023-04-06,314.24,318.55,312.82,318.05,46916500.0
2023-04-10,315.07,317.92,313.25,317.87,45134736.0
2023-04-11,317.83,317.89,315.31,315.83,40113600.0
2023-04-12,317.82,318.42,312.57,313.04,62813305.0
2023-04-13,314.83,319.65,313.63,319.17,54613800.0
2023-04-14,317.59,320.36,315.61,318.57,56278300.0
2023-04-17,318.15,319.2,316.04,318.84,43007023.0
2023-04-18,320.99,321.42,317.64,318.86,46746940.0
2023-04-19,316.41,319.79,316.28,318.71,38960127.0
2023-04-20,315.69,319.27,314.97,316.28,62462142.0
2023-04-21,315.91,317.4,314.1,316.61,59002300.0
2023-04-24,316.38,317.74,313.74,315.95,44043100.0
2023-04-25,314.29,314.97,309.89,309.99,57121644.0
2023-04-26,313.44,314.94,311.34,311.87,55400500.0
2023-04-27,315.7,320.86,315.05,320.35,65430400.0
2023-04-28,320.11,322.65,318.96,322.56,59712635.0
2023-05-01,322.09,323.63,321.09,322.19,41013400.0
2023-05-02,322.12,322.45,317.61,319.38,56519407.0
2023-05-03,319.75,322.47,317.18,317.29,59882100.0
2023-05-04,317.06,318.23,315.12,316.17,50224520.0
2023-05-05,318.47,323.76,316.21,322.89,51806098.0
2023-05-08,322.42,324.04,321.32,323.69,36465800.0
2023-05-09,322.0,322.88,321.32,321.64,31768800.0
2023-05-10,324.12,326.01,321.6,325.14,60446623.0
2023-05-11,325.7,326.75,324.12,326.2,44278548.0
2023-05-12,326.74,327.17,322.94,325.03,48432836.0
2023-05-15,325.51,327.03,323.96,326.79,33375600.0
2023-05-16,326.06,328.9,326.02,327.16,40019200.0
2023-05-17,328.24,331.71,327.04,331.12,47486124.0
2023-05-18,331.52,337.49,331.5,337.27,64213500.0
2023-05-19,337.49,338.21,335.43,336.51,61554926.0
2023-05-22,336.25,338.67,336.24,337.64,43015948.0
2023-05-23,335.89,337.06,333.0,333.36,48216700.0
2023-05-24,331.37,332.91,329.56,331.65,62891200.0
2023-05-25,339.14,341.01,336.67,339.72,66862800.0
2023-05-26,340.76,349.25,340.66,348.4,63007000.0
2023-05-30,352.71,353.93,348.53,349.98,72652200.0
2023-05-31,348.37,350.6,346.51,347.99,65105400.0
2023-06-01,347.73,353.36,346.66,352.01,50488601.0
2023-06-02,353.8,355.83,352.01,354.65,53372113.0
2023-06-05,354.43,357.5,353.85,354.9,47266228.0
2023-06-06,354.28,355.82,352.93,354.84,41390400.0
2023-06-07,355.13,357.12,348.18,348.82,69225936.0
2023-06-08,349.12,353.62,348.89,353.15,47153922.0
2023-06-09,354.63,357.66,353.03,354.5,53196927.0
2023-06-12,356.19,360.59,355.2,360.49,44817646.0
2023-06-13,363.29,364.11,360.03,363.26,57097804.0
2023-06-14,363.27,366.19,360.42,365.9,69525642.0
2023-06-15,364.61,371.77,363.98,370.26,71138823.0
2023-06-16,372.72,372.85,367.48,367.93,80931971.0
2023-06-20,365.95,368.32,363.89,366.9,49204722.0
2023-06-21,365.74,366.18,360.96,361.9,53378300.0
2023-06-22,360.63,366.33,360.22,366.17,47603043.0
2023-06-23,362.21,364.88,360.82,362.54,48922911.0
2023-06-26,362.0,364.84,357.59,357.68,52685500.0
2023-06-27,359.25,364.57,358.51,363.83,49428100.0
2023-06-28,361.98,366.52,361.9,364.54,46498031.0
