tradingDate,open,high,low,close,volume
2020-11-30,11.0,13.94,10.1,10.48,186696.0
2020-12-01,10.6,10.74,10.46,10.6,435476.0
2020-12-02,10.65,10.705,10.4,10.55,318208.0
2020-12-03,10.55,10.56,10.4,10.42,448261.0
2020-12-04,10.65,10.65,10.37,10.41,536546.0
2020-12-07,10.69,10.8,10.44,10.62,824228.0
2020-12-08,10.8,11.0,10.7,10.87,1540954.0
2020-12-09,11.04,11.25,10.75,10.99,1475932.0
2020-12-10,11.0,11.13,10.75,10.91,643193.0
2020-12-11,11.05,11.27,10.8,11.06,1334182.0
2020-12-14,11.2,11.36,10.9,11.11,1408807.0
2020-12-15,11.15,11.2,10.81,11.08,1132415.0
2020-12-16,11.06,11.06,10.81,10.99,1137143.0
2020-12-17,11.07,11.1,10.9477,11.03,397311.0
2020-12-18,11.11,11.415,10.9944,11.22,773792.0
2020-12-21,11.58,11.59,11.13,11.4,2660583.0
2020-12-22,11.95,12.1389,11.4,11.62,2068909.0
2020-12-23,11.98,12.2,11.74,12.05,2239358.0
2020-12-24,12.42,12.45,12.05,12.4,1038732.0
2020-12-28,12.89,13.04,12.45,12.66,2562690.0
2020-12-29,12.77,12.78,12.07,12.3,1752490.0
2020-12-30,12.0,12.52,11.9,12.46,1220662.0
2020-12-31,12.45,12.5,12.16,12.44,828380.0
2021-01-04,12.59,12.59,11.8,12.2,1371365.0
2021-01-05,12.15,12.28,12.09,12.15,1303969.0
2021-01-06,12.15,12.2,11.89,12.12,1105655.0
2021-01-07,12.2,22.0,12.05,19.14,62703142.0
2021-01-08,21.46,22.0,17.89,18.74,35656955.0
2021-01-11,19.37,19.75,18.65,18.99,11702228.0
2021-01-12,18.98,19.19,18.25,18.45,7010423.0
2021-01-13,18.9,19.59,18.53,19.11,8226365.0
2021-01-14,19.4,19.45,18.92,19.16,7705092.0
2021-01-15,19.32,21.05,19.11,20.16,13024851.0
2021-01-19,21.9,24.22,21.06,22.59,22266241.0
2021-01-20,23.86,24.62,22.11,22.37,10236079.0
2021-01-21,23.0,23.05,21.5,22.39,6971452.0
2021-01-22,22.09,22.99,21.19,21.65,6727266.0
2021-01-25,22.16,22.85,20.0,20.48,9701774.0
2021-01-26,20.4,21.32,19.5,19.57,9172375.0
2021-01-27,19.0,19.25,17.9,18.18,16297554.0
2021-01-28,20.42,20.92,19.1,20.28,12032102.0
2021-01-29,23.19,26.97,21.8,25.14,36434550.0
2021-02-01,25.85,28.26,25.14,25.78,18319125.0
2021-02-02,26.01,26.18,23.85,24.33,8854809.0
2021-02-03,24.8,25.75,24.51,24.95,4251461.0
2021-02-04,24.07,25.12,23.42,25.06,8449840.0
2021-02-05,24.29,24.52,22.9,23.1,12226842.0
2021-02-08,23.4,24.39,22.8,23.0,7344517.0
2021-02-09,22.93,24.0,22.75,23.12,6281337.0
