tradingDate,open,high,low,close,volume
2020-01-30,47.29,48.06,46.82,47.34,1268862.0
2020-01-31,47.4,47.4,45.48,46.21,1860767.0
2020-02-03,46.56,46.9305,45.98,46.58,1051369.0
2020-02-04,47.37,49.14,47.165,48.98,1612156.0
2020-02-05,49.44,49.71,48.67,49.11,2166504.0
2020-02-06,49.22,50.28,49.11,50.15,3462120.0
2020-02-07,50.31,51.56,49.79,50.17,2773072.0
2020-02-10,50.0,50.92,49.91,50.45,2055761.0
2020-02-11,50.67,51.75,50.47,50.83,2611653.0
2020-02-12,51.44,51.75,50.42,50.67,1706051.0
2020-02-13,50.43,52.71,50.405,51.71,3722383.0
2020-02-14,51.0,51.86,50.73,51.85,1319520.0
2020-02-18,51.77,53.24,51.5,52.28,4775065.0
2020-02-19,52.73,55.29,52.73,54.47,6917984.0
2020-02-20,62.47,66.68,61.93,63.63,19299008.0
2020-02-21,63.16,66.13,63.16,65.0,6756844.0
2020-02-24,61.09,61.45,58.51,59.69,8578559.0
2020-02-25,59.88,60.5,57.46,57.78,3249999.0
2020-02-26,57.9,59.4285,56.27,57.08,4725007.0
2020-02-27,55.0,57.22,54.06,54.62,3915378.0
2020-02-28,53.0,56.53,51.57,55.81,5709151.0
2020-03-02,55.84,56.29,51.97,54.4,3987146.0
2020-03-03,54.63,55.72,51.8,53.21,3029000.0
2020-03-04,54.07,54.73,53.14,54.25,1917920.0
2020-03-05,52.88,53.56,51.03,51.55,2322731.0
2020-03-06,49.94,51.115,47.76,49.35,3080644.0
2020-03-09,45.65,46.35,44.21,44.97,4511254.0
2020-03-10,46.18,46.91,41.21,45.39,4613357.0
2020-03-11,43.78,44.455,40.25,41.49,5098085.0
2020-03-12,38.0,38.36,33.615,35.53,7648397.0
2020-03-13,38.52,40.0,33.37,36.34,4583957.0
2020-03-16,31.07,32.0,27.17,28.67,7248910.0
2020-03-17,29.2,30.86,25.46,28.12,5475837.0
2020-03-18,26.51,26.66,20.04,25.01,9308964.0
2020-03-19,25.15,27.13,23.01,26.32,5218219.0
2020-03-20,26.72,31.87,26.58,27.19,8170794.0
2020-03-23,27.19,31.58,26.22,31.22,7807808.0
2020-03-24,35.09,39.3,34.2,36.82,8545786.0
2020-03-25,36.95,43.7416,36.56,39.89,6619050.0
2020-03-26,39.9,42.24,39.11,40.78,5792109.0
2020-03-27,38.24,39.45,36.74,37.94,4477870.0
2020-03-30,38.58,39.56,35.08,37.06,4442575.0
2020-03-31,37.16,37.98,34.95,36.02,4025794.0
